gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1293.3159624051764,1403.4746956482202,1451.4882174435832,1448.3093677136626,1399.2059347618872,1377.1208279799496,LO,1000.0,2015-05-15,496.4343
1290.7951949210137,1400.7497589951868,1449.0743191296094,1445.5812435282871,1396.5241585577646,1374.5203459472118,LO,1000.0,2015-05-18,496.4347
1292.4897752195232,1402.5022651639977,1450.4589112071471,1445.5083987903174,1396.1099701239257,1373.6462485386514,LO,1000.0,2015-05-19,496.4348
1288.0053218991784,1397.5981404163786,1445.4082638461425,1442.7950383909267,1394.2996329661207,1372.498385587348,LO,1000.0,2015-05-20,496.4349
1289.4020270515455,1398.9316052030276,1446.879723059106,1444.746891349372,1396.2748743032953,1374.3764674113122,LO,1000.0,2015-05-21,496.4398
1284.4441976464734,1393.5789120739798,1441.2454008312845,1440.862157970981,1393.1453750795663,1372.005840164352,LO,1000.0,2015-05-22,496.4399
1282.3580825983463,1391.2851457568217,1438.964490768685,1439.2330280285573,1391.684302934735,1370.6092501168455,LO,1000.0,2015-05-25,496.44005000000004
1274.7889647916677,1383.0429312061945,1430.5308303941488,1433.8083036111504,1387.6532070965934,1367.5259294159723,LO,1000.0,2015-05-26,496.4402
1280.9121708328778,1389.5891745912977,1437.2703378803346,1439.1280536033626,1392.2247715815386,1371.2435051826712,LO,1000.0,2015-05-27,496.4402
1281.0377468717245,1389.764283167318,1437.4950433638085,1439.1793468959258,1391.7548575228097,1370.2124274661076,LO,1000.0,2015-05-28,496.436
1276.0175450256795,1384.2998259948383,1431.9253280404155,1435.2188625457336,1388.3391682271183,1367.2931709149798,LO,1000.0,2015-05-29,496.4405
1276.4653071175192,1384.823138599773,1432.2612372787446,1434.9179299081136,1387.7483510745947,1366.4638494146436,LO,1000.0,2015-06-01,496.4342
1276.6619378323778,1385.1366133806596,1432.5381427272944,1434.7705030399256,1386.8925065294395,1364.8626755199593,LO,1000.0,2015-06-02,496.4343
1274.7272146045157,1383.119034153637,1430.3259030915267,1432.6757443189708,1385.0574492964747,1362.840596140693,LO,1000.0,2015-06-03,496.4219
1273.1206645244033,1381.2795667449818,1428.7849116183563,1431.5157303271174,1384.0908319697414,1362.198870487538,LO,1000.0,2015-06-04,496.4284
1261.3911140769032,1368.6989389126004,1415.6075521814846,1420.88831353985,1376.3860871405693,1356.5216743065605,LO,1000.0,2015-06-05,496.4225
1258.4495134023693,1365.4658138835173,1412.468960383923,1418.181446596681,1374.2104050854546,1354.8297147014707,LO,1000.0,2015-06-08,496.4292
1259.3258743886188,1366.3071169444706,1413.5713990064912,1418.5044455691907,1374.011633844832,1354.280449493823,LO,1000.0,2015-06-09,496.4294
1270.9615001430313,1376.5731875050865,1423.8156967815048,1427.3981919297478,1381.2236589601314,1359.9992911002041,LO,1000.0,2015-06-10,496.4354
1273.8765067489037,1381.5911596099104,1429.077662207983,1431.5722234402629,1384.5017072561,1363.237478752083,LO,1000.0,2015-06-11,496.4356
1269.5881433227225,1376.242708346275,1423.4957312228526,1426.8235770478584,1380.7383638178378,1360.2672695047745,LO,1000.0,2015-06-12,496.4414
1260.1628939459208,1368.586488949187,1416.0334141284523,1420.493769846236,1375.8267956214283,1357.3906321875459,LO,1000.0,2015-06-15,496.4416
1260.6997642544643,1370.89971383051,1418.6423106253667,1422.9907849629747,1378.0972892452387,1360.039304625119,LO,1000.0,2015-06-16,496.4416
1258.4423956625974,1367.5821806735116,1415.0790236422965,1420.5170338309133,1376.8058422611114,1359.0996992342764,LO,1000.0,2015-06-17,496.4417
1267.0925340966942,1374.4724227368142,1421.8219941027514,1426.704024260662,1382.025087707421,1363.2553090489296,LO,1000.0,2015-06-18,496.4418
1264.6517371116267,1373.5242326102928,1421.1200187071543,1426.1041834505886,1381.4086168329686,1363.1067052690705,LO,1000.0,2015-06-19,496.4367
1275.9038575026805,1381.4950431714851,1428.673492853704,1432.2716253066549,1386.115556742235,1365.7475809630396,LO,1000.0,2015-06-22,496.4421
1277.604050921432,1381.9777725938854,1428.8438527154567,1432.5519108884084,1386.588322165037,1366.3457763909812,LO,1000.0,2015-06-23,496.4421
1274.4445913037841,1378.4288510038164,1425.2391241529301,1429.1564588909089,1383.591532778202,1364.3538695917687,LO,1000.0,2015-06-24,496.4422
1271.167310743852,1375.9729365234627,1422.9086635542167,1426.9097245292924,1381.3770020344214,1362.1480714081047,LO,1000.0,2015-06-25,496.4422
1269.2365774470586,1374.827822230574,1421.8678781988874,1425.5611532429828,1379.7688092807764,1360.2000703498522,LO,1000.0,2015-06-26,496.4376
1246.137464569036,1356.8615273999,1404.6160713509992,1410.0639662641413,1366.182013603725,1350.9690833682746,LO,1000.0,2015-06-29,496.438
1243.8369766658807,1354.4229493410135,1401.9835424975847,1406.7977451073411,1362.9339461951188,1348.3030436796757,LO,1000.0,2015-06-30,496.4382
1235.3180821813476,1345.8806837688549,1393.4763499755136,1399.0268437046184,1355.6772413488322,1342.1552958384425,LO,1000.0,2015-07-01,496.4132
1237.5010438631746,1348.1557497255874,1395.6761611369,1400.7238215077423,1357.264963724117,1343.3194520920986,LO,1000.0,2015-07-02,496.4321
1238.2912530812314,1348.2061651340607,1395.3599616237714,1400.6193627045595,1357.225974863263,1343.1610067301374,LO,1000.0,2015-07-03,496.4294
1232.923442380649,1344.974364836778,1394.7386024452228,1402.0310982983372,1359.164989956985,1345.1216669126322,LO,1000.0,2015-07-06,496.4267
1230.0291461061477,1341.8192330390225,1392.1203735304114,1401.7805413840724,1359.9167658197566,1346.4472787067061,LO,1000.0,2015-07-07,496.4328
1224.080737699178,1335.6767543570706,1385.8278557711658,1394.5538671222191,1353.9680667931862,1341.3664297260907,LO,1000.0,2015-07-08,496.4329
1214.7403840319394,1326.1180074924064,1376.7470230443982,1386.0497019327554,1345.8788529960977,1335.0663037034906,LO,1000.0,2015-07-09,496.4274
1208.138919848338,1320.3137764337548,1372.1446041462889,1382.6233507911736,1342.9063694209462,1333.4962761498484,LO,1000.0,2015-07-10,496.4389
