gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1495.7969570221314,1543.8122809049528,1559.332611906211,1627.7659703640334,1672.8406996034964,1667.7168546374523,LS,0.1,2020-10-06,527.4268
1496.792943739746,1540.7312409570197,1555.8389902577244,1624.0590266649526,1669.2294851376957,1664.4475622920947,LS,0.1,2020-10-07,527.4244
1489.708054112576,1539.032962268081,1554.664554447036,1623.317652893468,1669.1239529516563,1665.5415025058708,LS,0.1,2020-10-08,527.427
1497.6747720408887,1545.2072142175912,1560.8880990967277,1629.3353867798053,1674.4939064159557,1670.0842176373126,LS,0.1,2020-10-09,527.4284
1509.7243373245176,1552.9659984880027,1568.5532232375008,1637.0745345284454,1682.1414289784452,1677.1234093595756,LS,0.1,2020-10-12,527.42885
1493.3345518426393,1538.7823246791706,1554.238377653698,1622.5586468504125,1667.9813286710414,1664.7859437540778,LS,0.1,2020-10-13,527.4293
1495.5108045437012,1544.363293880948,1559.973746864362,1628.4698479364624,1673.929579277116,1670.1311321945582,LS,0.1,2020-10-14,527.4319
1498.6683467320995,1546.9453617246525,1562.4309450328512,1631.0538686813409,1676.6357613776713,1672.1151963612829,LS,0.1,2020-10-15,527.4367
1497.2506196617567,1545.4319200450198,1560.9333879247297,1629.3625395943343,1674.606797056168,1669.8232711264573,LS,0.1,2020-10-16,527.4369
1491.3568393956298,1540.2189448089514,1555.7330010072226,1624.0031876389044,1669.2135436148744,1664.8490099505816,LS,0.1,2020-10-19,527.4411
1485.3515051600318,1535.7797725341582,1551.4397714981721,1619.7532218807396,1665.460370104211,1662.2673830440006,LS,0.1,2020-10-20,527.4405
1496.099875900065,1543.329295088768,1558.9425457077314,1627.0795489435577,1671.8626415977596,1666.7953995551227,LS,0.1,2020-10-21,527.4449
1490.9156690124596,1538.9838948304764,1554.6360973857702,1622.8459323745183,1668.0456065431517,1663.610985644839,LS,0.1,2020-10-22,527.4463
1493.894988990879,1541.1453129843806,1556.7721477021519,1625.0121238802776,1670.1409631983672,1665.4531406456324,LS,0.1,2020-10-23,527.4527
1484.133689816133,1536.0101738386277,1551.849481557732,1620.188914131349,1665.7886083672342,1662.3104847970235,LS,0.1,2020-10-26,527.4604
