holding_costs,holding_costs_rf,max_holding,return,std,trans_costs,turnover
0.0,0.0,0.35,0.07632153958188459,0.11494789603382437,0.004,3.814350858591292
0.0,0.0005,0.35,0.08041190858070824,0.12136840385737682,0.004,2.8697104445629336
0.0,0.001,0.35,0.08197125367184643,0.12262744138840656,0.004,2.6310966599540806
0.0005,0.0,0.35,0.07447734083988977,0.10792260624990715,0.004,3.542926461808085
0.0005,0.0005,0.35,0.08191319518024276,0.11837950691678555,0.004,2.854390947542213
0.0005,0.001,0.35,0.08289874703636246,0.11965912529233097,0.004,2.678788302523669
0.001,0.0,0.35,0.07213687339112007,0.1021097954793768,0.004,3.368217460307833
0.001,0.0005,0.35,0.07793211313096338,0.11604017242149577,0.004,2.7826955549215135
0.001,0.001,0.35,0.07967485983183975,0.11750088480779106,0.004,2.6486716491627824
0.0,0.0,0.5,0.05909030670778126,0.1480601712863947,0.0001,14.898121175847363
