holding_costs,max_holding,return,std,trans_costs,turnover
0.002,0.4,0.06704730331280051,0.10696277220049392,0.015,1.0372364239975007
0.0,0.5,0.0592176571310854,0.10705321755527189,0.0005,8.133868533344518
0.0005,0.5,0.0586038268088509,0.10249556300768009,0.0005,9.22744597200357
0.001,0.5,0.06075631774447943,0.09960587132278978,0.0005,8.5012951980118
0.002,0.5,0.06365865945557636,0.094257505850785,0.0005,6.928155445547867
0.0,0.5,0.05572209360553848,0.1064232334144335,0.001,7.1038489781082665
0.0005,0.5,0.0576607182956439,0.10190282337594682,0.001,7.48784638354986
0.001,0.5,0.06062514811489628,0.09901478522440357,0.001,7.056771380462085
0.002,0.5,0.06395951738594641,0.09368956686702481,0.001,5.844120794417
0.0,0.5,0.047991001769185804,0.10333315539699092,0.004,4.536249483232549
